iter	Passed	Remaining
0	12	1242
1	22	1122
2	33	1095
3	46	1104
4	57	1095
5	69	1092
6	81	1086
7	95	1095
8	109	1103
9	123	1111
10	136	1102
11	152	1116
12	166	1112
13	179	1099
14	191	1086
15	203	1066
16	217	1062
17	231	1053
18	244	1041
19	257	1029
20	269	1014
21	287	1019
22	303	1015
23	317	1006
24	330	990
25	342	974
26	352	953
27	374	963
28	407	997
29	488	1140
30	532	1185
31	551	1172
32	564	1146
33	575	1117
34	586	1088
35	596	1060
36	607	1034
37	619	1011
38	637	997
39	648	973
40	661	952
41	674	931
42	687	911
43	697	888
44	711	869
45	725	851
46	738	832
47	748	811
48	761	792
49	774	774
50	788	757
51	799	738
52	811	719
53	824	702
54	836	684
55	847	665
56	858	647
57	870	630
58	884	614
59	895	597
60	907	580
61	919	563
62	930	546
63	943	530
64	955	514
65	968	498
66	979	482
67	991	466
68	1003	450
69	1018	436
70	1030	420
71	1041	405
72	1056	390
73	1069	375
74	1082	360
75	1093	345
76	1106	330
77	1118	315
78	1130	300
79	1141	285
80	1153	270
81	1165	255
82	1176	241
83	1187	226
84	1198	211
85	1209	196
86	1220	182
87	1232	168
88	1245	153
89	1255	139
90	1269	125
91	1281	111
92	1293	97
93	1303	83
94	1315	69
95	1327	55
96	1337	41
97	1359	27
98	1369	13
99	1382	0
