iter	Passed	Remaining
0	15	4623
1	29	4399
2	42	4217
3	56	4161
4	68	4037
5	83	4079
6	97	4060
7	110	4017
8	123	3997
9	135	3930
10	148	3908
11	163	3918
12	180	3979
13	195	3997
14	208	3966
15	222	3941
16	233	3893
17	247	3878
18	262	3886
19	279	3908
20	292	3890
21	306	3869
22	319	3852
23	331	3815
24	345	3798
25	358	3781
26	372	3765
27	385	3743
28	398	3719
29	411	3706
30	425	3690
31	441	3698
32	459	3714
33	473	3705
34	487	3694
35	502	3684
36	515	3661
37	528	3641
38	541	3625
39	555	3608
40	568	3593
41	582	3579
42	596	3563
43	609	3548
44	623	3532
45	636	3516
46	650	3503
47	662	3480
48	679	3482
49	730	3651
50	766	3744
51	803	3832
52	831	3873
53	855	3895
54	870	3877
55	885	3856
56	900	3839
57	914	3817
58	930	3798
59	942	3769
60	955	3745
61	970	3724
62	983	3699
63	997	3676
64	1010	3654
65	1023	3628
66	1037	3606
67	1051	3586
68	1064	3564
69	1078	3544
70	1090	3516
71	1103	3494
72	1118	3476
73	1131	3455
74	1145	3435
75	1158	3415
76	1172	3395
77	1194	3398
78	1208	3381
79	1220	3355
80	1234	3338
81	1248	3320
82	1263	3302
83	1277	3283
84	1290	3263
85	1302	3240
86	1316	3222
87	1332	3209
88	1347	3193
89	1361	3177
90	1375	3159
91	1389	3142
92	1403	3123
93	1422	3116
94	1435	3098
95	1450	3082
96	1466	3069
97	1482	3056
98	1497	3041
99	1512	3025
100	1526	3008
101	1544	2998
102	1561	2985
103	1578	2973
104	1592	2957
105	1607	2942
106	1622	2927
107	1636	2908
108	1652	2896
109	1665	2877
110	1680	2861
111	1695	2846
112	1710	2831
113	1728	2820
114	1745	2808
115	1761	2794
116	1778	2782
117	1793	2766
118	1808	2750
119	1823	2734
120	1837	2719
121	1852	2703
122	1892	2723
123	1940	2754
124	1997	2795
125	2023	2794
126	2044	2784
127	2067	2778
128	2081	2758
129	2093	2738
130	2109	2721
131	2123	2702
132	2140	2687
133	2157	2672
134	2173	2656
135	2190	2641
136	2206	2625
137	2220	2606
138	2233	2587
139	2250	2572
140	2264	2553
141	2277	2533
142	2291	2515
143	2304	2496
144	2318	2478
145	2332	2460
146	2346	2442
147	2358	2421
148	2372	2403
149	2386	2386
150	2399	2367
151	2412	2349
152	2424	2329
153	2437	2310
154	2451	2293
155	2469	2279
156	2483	2262
157	2499	2246
158	2511	2227
159	2524	2208
160	2539	2192
161	2553	2174
162	2568	2158
163	2582	2141
164	2596	2124
165	2610	2107
166	2622	2088
167	2636	2071
168	2650	2054
169	2664	2037
170	2679	2021
171	2693	2004
172	2705	1986
173	2719	1969
174	2732	1951
175	2746	1934
176	2760	1918
177	2772	1900
178	2785	1882
179	2800	1866
180	2813	1849
181	2827	1833
182	2841	1816
183	2855	1800
184	2873	1786
185	2887	1769
186	2901	1753
187	2915	1736
188	2928	1719
189	2943	1703
190	2957	1687
191	2973	1672
192	2988	1656
193	3002	1640
194	3016	1624
195	3031	1608
196	3057	1598
197	3096	1595
198	3169	1608
199	3210	1605
200	3239	1595
201	3263	1583
202	3277	1565
203	3291	1548
204	3304	1531
205	3319	1514
206	3333	1497
207	3347	1480
208	3360	1463
209	3374	1446
210	3388	1429
211	3403	1412
212	3422	1397
213	3440	1382
214	3453	1365
215	3467	1348
216	3479	1330
217	3495	1314
218	3508	1297
219	3523	1281
220	3536	1264
221	3551	1247
222	3565	1231
223	3577	1213
224	3591	1197
225	3607	1181
226	3621	1164
227	3636	1148
228	3652	1132
229	3667	1116
230	3681	1099
231	3696	1083
232	3709	1066
233	3723	1050
234	3738	1034
235	3753	1017
236	3766	1001
237	3781	985
238	3795	968
239	3808	952
240	3822	935
241	3837	919
242	3853	903
243	3870	888
244	3884	871
245	3897	855
246	3910	839
247	3924	822
248	3938	806
249	3952	790
250	3966	774
251	3981	758
252	3995	742
253	4008	725
254	4021	709
255	4035	693
256	4048	677
257	4062	661
258	4075	645
259	4088	629
260	4101	612
261	4117	597
262	4133	581
263	4149	565
264	4163	549
265	4179	534
266	4194	518
267	4208	502
268	4225	486
269	4242	471
270	4266	456
271	4318	444
272	4353	430
273	4401	417
274	4424	402
275	4441	386
276	4456	370
277	4468	353
278	4484	337
279	4499	321
280	4512	305
281	4526	288
282	4541	272
283	4555	256
284	4567	240
285	4580	224
286	4594	208
287	4609	192
288	4624	176
289	4641	160
290	4654	143
291	4667	127
292	4681	111
293	4697	95
294	4712	79
295	4726	63
296	4740	47
297	4754	31
298	4767	15
299	4780	0
